Dealer,Type,Product,Chassis_Number,Engine_Number,Color
SDR,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228728,4D34T-XY4747,Merah Pertamina
SDR,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228721,4D34T-XY4745,Merah Pertamina
SDR,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228729,4D34T-XY4756,Merah Pertamina
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228725,4D34T-XY4749,Merah Pertamina
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228727,4D34T-XY4748,Merah Pertamina
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228724,4D34T-XY4743,Merah Pertamina
SDR,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228846,4D34T-XY5308,Kuning
ARS,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228882,4D34T-XY5270,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228957,4D34T-XY5392,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228958,4D34T-XY5393,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228960,4D34T-XY5331,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228961,4D34T-XY5334,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228962,4D34T-XY5333,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228963,4D34T-XY5391,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228964,4D34T-XY5317,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228965,4D34T-XY5318,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228966,4D34T-XY5332,Kuning
CRB,TV50,FE74HDV K (4X2) M/T (4 X 2) M/T (TV50),MHMFE74PPMK228967,4D34T-XY5315,Kuning
